brand,car_age,mileage_km,km_per_year,hp,hp_per_year
Abarth,6.0,99.0,19.8,165.0,25.571428571428573
Alfa,10.5,64250.0,5284.801136363636,150.0,13.333333333333334
Alpina,9.0,47196.5,4966.277777777777,409.0,48.09285714285714
Alpine,7.0,23042.0,3291.714285714286,252.0,36.0
Aston,12.0,35425.0,3669.166666666667,538.0,45.18333333333334
Audi,9.0,63906.0,6500.0,179.0,20.363636363636363
BMW,10.0,89124.0,8081.0,184.0,17.272727272727273
Baic,8.0,25400.0,3175.0,136.0,17.0
Bentley,14.0,46800.0,3308.5714285714284,544.0,38.64285714285714
Cadillac,5.0,1615.0,323.0,230.0,46.0
Chevrolet,14.0,91974.0,6459.615384615385,124.0,8.923076923076923
Chrysler,13.0,128900.0,8593.333333333334,287.0,23.916666666666668
Citroen,11.0,64718.0,5743.181818181818,92.0,9.11111111111111
Corvette,8.5,19608.0,2291.722222222222,647.0,76.29861111111111
Cupra,5.0,2990.0,598.0,300.0,50.0
DAF,13.0,183000.0,14076.923076923076,220.0,16.923076923076923
DFSK,6.0,13550.0,1938.5714285714287,145.0,24.857142857142858
DS,7.0,19384.0,2926.714285714286,177.0,20.383333333333333
Dacia,10.0,59008.0,5286.940476190476,90.0,9.083333333333334
Daihatsu,15.0,75358.0,5052.5,91.0,6.066666666666666
Dodge,10.5,58632.5,5575.681818181818,389.5,34.93560606060606
FISKER,14.0,7500.0,535.7142857142857,408.0,29.142857142857142
Fiat,10.0,40179.0,3974.1666666666665,69.0,8.625
Ford,9.0,55981.0,5423.444444444444,120.0,12.0
Honda,12.0,73800.0,5918.727272727273,114.0,10.0
Hyundai,10.0,48400.0,4547.727272727273,101.0,10.545454545454545
Infiniti,11.0,154000.0,13164.583333333334,170.0,15.866666666666667
Isuzu,13.0,56000.0,4307.692307692308,163.0,12.538461538461538
Iveco,15.0,150000.0,10000.0,126.0,8.4
Jaguar,8.0,36542.0,4370.0,250.0,32.0
Jeep,6.0,7450.0,1130.5,166.5,25.0
Kia,11.0,49852.0,4656.363636363636,109.0,11.25
Lada,8.5,29031.5,2742.142857142857,83.0,11.817460317460318
Lamborghini,13.0,52000.0,4000.0,560.0,43.07692307692308
Lancia,14.0,102000.0,6800.0,120.0,8.571428571428571
Land,8.0,40324.5,4606.871428571429,241.0,30.125
Lexus,7.0,19200.0,2857.1428571428573,209.0,29.2
MINI,12.0,77714.0,6397.714285714285,116.0,10.2
Maserati,8.0,48469.5,5677.166666666666,339.5,39.0
Mazda,9.0,39250.0,4000.0,144.0,15.0
McLaren,14.0,41500.0,2964.285714285714,625.0,44.642857142857146
Mercedes-Benz,10.0,80808.5,7327.00641025641,170.0,17.0
Mitsubishi,10.0,47571.0,4812.5,80.0,10.142857142857142
Morgan,9.5,17447.0,1467.9642857142858,177.0,16.773809523809522
Nissan,11.0,61200.0,5436.5,110.0,9.75
Opel,10.0,71018.5,6290.378787878788,110.0,10.909090909090908
Others,9.0,2875.0,343.75,71.5,6.180555555555555
Peugeot,11.0,63975.0,5633.785714285714,95.0,9.5
Piaggio,14.0,59078.0,4219.857142857143,71.0,5.071428571428571
Polestar,5.0,1550.0,310.0,408.0,81.6
Porsche,9.0,46390.0,5038.214285714286,375.5,46.0
RAM,7.5,47628.5,6392.464285714286,401.0,53.70535714285714
Renault,10.0,45166.0,4461.5192307692305,91.0,10.0
SEAT,10.0,61000.0,5630.7692307692305,105.0,10.0
Skoda,10.0,63253.0,6090.909090909091,105.0,10.714285714285714
SsangYong,10.0,55004.0,5516.066666666667,150.0,14.791666666666668
Subaru,12.0,85062.5,7054.794871794872,150.0,11.538461538461538
Suzuki,11.0,47450.0,4351.282051282051,94.0,9.0
Tesla,7.0,36000.0,4183.333333333333,487.0,62.44444444444444
Toyota,10.0,53951.0,4856.666666666667,99.0,9.538461538461538
Volkswagen,10.0,70000.0,6355.25,116.0,10.76923076923077
Volvo,8.0,49300.0,5937.5,190.0,26.11111111111111
smart,11.0,45000.0,4108.466666666666,71.0,6.461538461538462
